1,100,#f4ed7c
2,100 C,#f7ea5f
3,100 U,#fef27e
4,101,#f4ed47
5,101 C,#f8e946
6,101 U,#ffef65
7,102,#f9e814
8,102 C,#fde300
9,102 U,#ffec28
10,103,#c6ad0f
11,103 C,#c6a900
12,103 U,#b59e28
13,104,#ad9b0c
14,104 C,#b19700
15,104 U,#9b8c37
16,105,#82750f
17,105 C,#8b7a27
18,105 U,#7d7446
19,106,#f7e859
20,106 C,#fbe343
21,106 U,#ffea65
22,107,#f9e526
23,107 C,#fee01e
24,107 U,#ffe450
25,108,#f9dd16
26,108 U,#ffdc32
27,109,#f9d616
28,109 C,#ffd100
29,109 U,#ffc700
30,110,#d8b511
31,110 C,#dba900
32,110 U,#cd9f24
33,111,#aa930a
34,111 C,#ac8900
35,111 U,#9b8638
36,112,#99840a
37,112 C,#9d830f
38,112 U,#8a7a3e
39,113,#f9e55b
40,113 C,#fddf50
41,113 U,#ffe05e
42,114,#f9e24c
43,114 C,#fedd3c
44,114 U,#ffd847
45,115,#f9e04c
46,115 C,#ffd923
47,115 U,#ffcd29
48,116,#fcd116
49,116 C,#ffcd00
50,116 U,#ffb408
51,117,#c6a00c
52,117 C,#cc9700
53,117 U,#b78b2e
54,118,#aa8e0a
55,118 C,#ae8400
56,118 U,#9e8038
57,119,#897719
58,119 C,#8a731f
59,119 U,#847647
60,120,#f9e27f
61,120 C,#feda63
62,120 U,#ffd968
63,1205,#f7e8aa
64,1205 C,#f9df8d
65,1205 U,#ffe394
66,121,#f9e070
67,121 C,#ffd755
68,121 U,#ffcb50
69,1215,#f9e08c
70,1215 C,#fed671
71,1215 U,#ffd97c
72,122,#fcd856
73,122 C,#ffd03e
74,122 U,#ffc03d
75,1225,#ffcc49
76,1225 C,#ffc842
77,1225 U,#ffba4d
78,123,#ffc61e
79,123 C,#ffc627
80,123 U,#ffac25
81,1235,#fcb514
82,1235 C,#ffb718
83,1235 U,#ffad38
84,124,#e0aa0f
85,124 C,#eda900
86,124 U,#d99132
87,1245,#bf910c
88,1245 C,#c9910d
89,1245 U,#bb8a3f
90,125,#b58c0a
91,125 C,#b78400
92,125 U,#a6803a
93,1255,#a37f14
94,1255 C,#af841d
95,1255 U,#a18045
96,126,#a38205
97,126 C,#9d760c
98,126 U,#8e7641
99,1265,#7c6316
100,1265 C,#8a6b24
101,1265 U,#887447
102,127,#f4e287
103,127 C,#f5db6b
104,127 U,#fce182
105,128,#f4db60
106,128 C,#f7d44b
107,128 U,#fecd60
108,129,#f2d13d
109,129 C,#f6ce3c
110,129 U,#fead3c
111,130,#eaaf0f
